courses,school,school_id
Cyber Security Bootcamp,ironhack,10828
Cybersecurity Part-Time,ironhack,10828
Data Analytics Bootcamp,ironhack,10828
Data Analytics Part-Time,ironhack,10828
UX/UI Design Bootcamp,ironhack,10828
UX/UI Design Part-Time,ironhack,10828
Web Development Bootcamp,ironhack,10828
Web Development Part-Time,ironhack,10828
16-week Software Engineering Program,app-academy,10525
Bootcamp Prep,app-academy,10525
24-week Software Engineering Program (Full Time),app-academy,10525
48-week Software Engineering Program (Part Time),app-academy,10525
App Academy Open,app-academy,10525
Self-Paced Bootcamp Prep Online,app-academy,10525
Cyber Security Career Track,springboard,11035
Data Analytics Career Track,springboard,11035
Data Science Career Track,springboard,11035
Data Science Career Track Prep,springboard,11035
Front-End Web Development,springboard,11035
Introduction to Data Analytics,springboard,11035
Introduction to Design,springboard,11035
Software Engineering Career Track,springboard,11035
Software Engineering Career Track Prep Course,springboard,11035
Software Engineering Foundations to Core,springboard,11035
Tech Sales Career Track,springboard,11035
UI/UX Design Career Track,springboard,11035
UX Career Track,springboard,11035
